epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,9.999999747378752e-05,0.2709299325942993,0.5784947276115417,0.8263304829597473,0.23410633206367493,0.49947279691696167,0.7740574479103088
1,9.999999747378752e-05,0.15727098286151886,0.4057553708553314,0.6216492652893066,0.13747870922088623,0.3293378949165344,0.5596800446510315
2,9.999999747378752e-05,0.13282747566699982,0.36192789673805237,0.5710830688476562,0.09952564537525177,0.2946406304836273,0.47882869839668274
3,9.999999747378752e-05,0.11819872260093689,0.3364924490451813,0.540906548500061,0.08369671553373337,0.24311071634292603,0.4398272633552551
4,9.999999747378752e-05,0.10821764916181564,0.3164421319961548,0.516335666179657,0.09081730246543884,0.24511882662773132,0.4514342248439789
5,9.999999747378752e-05,0.09978193789720535,0.30404824018478394,0.4936308264732361,0.10509682446718216,0.2982763946056366,0.49414247274398804
6,9.999999747378752e-05,0.09332061558961868,0.2926136553287506,0.47706741094589233,0.11604461818933487,0.284319132566452,0.5324136018753052
7,9.999999747378752e-05,0.08832943439483643,0.2818982005119324,0.466226190328598,0.0969952642917633,0.2945346534252167,0.4712578058242798
8,9.999999747378752e-05,0.0829775407910347,0.2707521915435791,0.4535695016384125,0.10080821067094803,0.2978421151638031,0.48261240124702454
9,4.999999873689376e-05,0.07674554735422134,0.2587831914424896,0.43440133333206177,0.0627807006239891,0.1990794986486435,0.37426117062568665
10,4.999999873689376e-05,0.07624263316392899,0.2563045620918274,0.43686583638191223,0.09049171954393387,0.2321847379207611,0.47158727049827576
11,4.999999873689376e-05,0.07438544929027557,0.25332996249198914,0.4289914667606354,0.08604449033737183,0.23927472531795502,0.45422589778900146
12,4.999999873689376e-05,0.07312885671854019,0.2503933310508728,0.4292794466018677,0.07627946138381958,0.22604697942733765,0.4265427589416504
13,4.999999873689376e-05,0.07226777076721191,0.2480473518371582,0.426957905292511,0.07136250287294388,0.2286052107810974,0.409712553024292
14,4.999999873689376e-05,0.07151959091424942,0.24604764580726624,0.42539215087890625,0.10861247777938843,0.24804972112178802,0.5379306077957153
15,2.499999936844688e-05,0.06875229626893997,0.24188199639320374,0.41594961285591125,0.07196398824453354,0.20836099982261658,0.417000412940979
16,2.499999936844688e-05,0.06895912438631058,0.24110639095306396,0.41580453515052795,0.07842033356428146,0.22784008085727692,0.43942418694496155
17,2.499999936844688e-05,0.06897816061973572,0.24005325138568878,0.41687706112861633,0.09183424711227417,0.2325565665960312,0.48782652616500854
