epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,9.999999747378752e-05,0.2943427860736847,0.582219123840332,0.8688880801200867,0.15794718265533447,0.36298030614852905,0.5926231145858765
1,9.999999747378752e-05,0.18849724531173706,0.4273858666419983,0.6706266403198242,0.14150141179561615,0.31473252177238464,0.5815566778182983
2,9.999999747378752e-05,0.16741348803043365,0.3940753936767578,0.6256464123725891,0.13796059787273407,0.3137899339199066,0.5744978785514832
3,9.999999747378752e-05,0.1475614756345749,0.36242467164993286,0.5777289271354675,0.13800863921642303,0.30609187483787537,0.5631605982780457
4,9.999999747378752e-05,0.14170409739017487,0.35149118304252625,0.5679766535758972,0.13050992786884308,0.3030796945095062,0.5425771474838257
5,9.999999747378752e-05,0.1335132122039795,0.3405536413192749,0.5419678688049316,0.11824452131986618,0.2864546477794647,0.5108479857444763
6,9.999999747378752e-05,0.12657861411571503,0.32777538895606995,0.5267912149429321,0.1135186105966568,0.2675854563713074,0.5047305822372437
7,9.999999747378752e-05,0.1214890405535698,0.31778696179389954,0.5139739513397217,0.11472218483686447,0.2731570601463318,0.4981424808502197
8,9.999999747378752e-05,0.1149686947464943,0.30723562836647034,0.4992471933364868,0.1089685931801796,0.2666669487953186,0.4883997142314911
9,9.999999747378752e-05,0.10972745716571808,0.2969585657119751,0.48681095242500305,0.10064182430505753,0.2554534077644348,0.4680995047092438
10,9.999999747378752e-05,0.1064450591802597,0.290304571390152,0.4778502881526947,0.10853494703769684,0.2764941453933716,0.48619383573532104
11,9.999999747378752e-05,0.09907698631286621,0.27453795075416565,0.45987704396247864,0.09870409965515137,0.25015100836753845,0.4665217995643616
12,9.999999747378752e-05,0.09781669080257416,0.2724195420742035,0.4564018249511719,0.09427526593208313,0.2376025915145874,0.45636048913002014
13,9.999999747378752e-05,0.09614497423171997,0.26719799637794495,0.4539611339569092,0.09323528409004211,0.23511770367622375,0.45237019658088684
14,9.999999747378752e-05,0.09123562276363373,0.26023444533348083,0.4385811984539032,0.09655489027500153,0.24743135273456573,0.45263150334358215
15,9.999999747378752e-05,0.09159266203641891,0.26082858443260193,0.44108667969703674,0.08767776191234589,0.22053635120391846,0.43172892928123474
16,9.999999747378752e-05,0.08786717802286148,0.25153014063835144,0.43103885650634766,0.0908622145652771,0.23296017944812775,0.44401654601097107
17,9.999999747378752e-05,0.08842045813798904,0.248962864279747,0.43513762950897217,0.09650428593158722,0.23990961909294128,0.4511401653289795
18,9.999999747378752e-05,0.084072545170784,0.24151010811328888,0.42217767238616943,0.09157048165798187,0.2310914695262909,0.4430601894855499
19,9.999999747378752e-05,0.0828976035118103,0.23968739807605743,0.41893166303634644,0.08999531716108322,0.22881601750850677,0.4417894780635834
20,9.999999747378752e-05,0.08087647706270218,0.2346135377883911,0.41365042328834534,0.0888528898358345,0.222516730427742,0.43802347779273987
21,4.999999873689376e-05,0.07749447226524353,0.2291697859764099,0.40277647972106934,0.08999273926019669,0.22031043469905853,0.44006866216659546
22,4.999999873689376e-05,0.07846878468990326,0.23092159628868103,0.4068319499492645,0.09204742312431335,0.22847186028957367,0.44469112157821655
23,4.999999873689376e-05,0.077810138463974,0.22836293280124664,0.4049568176269531,0.0910262018442154,0.22774715721607208,0.442171186208725
24,4.999999873689376e-05,0.075415700674057,0.2226562649011612,0.39924946427345276,0.09330625087022781,0.2352364957332611,0.4475948214530945
25,4.999999873689376e-05,0.07680436968803406,0.22582902014255524,0.4042811691761017,0.09035693109035492,0.2257859706878662,0.4406518042087555
26,4.999999873689376e-05,0.07343445718288422,0.21617214381694794,0.3937447965145111,0.08942226320505142,0.21946412324905396,0.44078388810157776
27,4.999999873689376e-05,0.07399208843708038,0.2200413942337036,0.3936636447906494,0.08855926245450974,0.21985019743442535,0.43789562582969666
28,4.999999873689376e-05,0.07439583539962769,0.2198454588651657,0.3957657814025879,0.0867810845375061,0.21366915106773376,0.43536174297332764
29,4.999999873689376e-05,0.07491642981767654,0.2190849781036377,0.39883166551589966,0.08713678270578384,0.2204880714416504,0.4334399700164795
30,4.999999873689376e-05,0.07354145497083664,0.21813306212425232,0.3937612473964691,0.08566170930862427,0.21385931968688965,0.4283556044101715
31,4.999999873689376e-05,0.0729307010769844,0.21684277057647705,0.3909287750720978,0.08659286051988602,0.21417096257209778,0.4304882884025574
32,4.999999873689376e-05,0.0712672770023346,0.21016782522201538,0.38938599824905396,0.08505608886480331,0.21346688270568848,0.42911237478256226
33,4.999999873689376e-05,0.07094663381576538,0.21221455931663513,0.38603243231773376,0.08700459450483322,0.21612370014190674,0.432694673538208
34,4.999999873689376e-05,0.06987500190734863,0.20897723734378815,0.38302290439605713,0.08803132176399231,0.21607840061187744,0.4340367019176483
35,4.999999873689376e-05,0.07125818729400635,0.21207143366336823,0.3875669240951538,0.08823748677968979,0.21624431014060974,0.4351557493209839
36,4.999999873689376e-05,0.07000961154699326,0.2074478268623352,0.38398581743240356,0.08772597461938858,0.21825212240219116,0.43471309542655945
37,4.999999873689376e-05,0.06814191490411758,0.20832280814647675,0.3782726526260376,0.08484472334384918,0.2100311815738678,0.42854124307632446
38,4.999999873689376e-05,0.06924224644899368,0.20758461952209473,0.3797159790992737,0.0836915448307991,0.20817925035953522,0.4237395226955414
39,4.999999873689376e-05,0.06847942620515823,0.2054867446422577,0.3791797161102295,0.08214452117681503,0.20679718255996704,0.42087051272392273
40,4.999999873689376e-05,0.06828673928976059,0.2051059603691101,0.37856289744377136,0.08173239976167679,0.20557855069637299,0.42015331983566284
41,4.999999873689376e-05,0.06715145707130432,0.2045484036207199,0.3760558068752289,0.08467189967632294,0.21069473028182983,0.42959317564964294
