epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,9.999999747378752e-05,0.277601420879364,0.4588510990142822,0.8868963122367859,0.1678299903869629,0.28747376799583435,0.60279381275177
1,9.999999747378752e-05,0.18593868613243103,0.3321008086204529,0.6125824451446533,0.1685035526752472,0.30690455436706543,0.5740154385566711
2,9.999999747378752e-05,0.1637004315853119,0.29907891154289246,0.5580923557281494,0.1581561416387558,0.27603867650032043,0.569811224937439
3,9.999999747378752e-05,0.1586303859949112,0.2879829704761505,0.5507991909980774,0.14934253692626953,0.2767832577228546,0.5455344319343567
4,9.999999747378752e-05,0.15211310982704163,0.27813148498535156,0.5341706871986389,0.1546766608953476,0.27304843068122864,0.5348352193832397
5,9.999999747378752e-05,0.14571188390254974,0.2709272503852844,0.5145472884178162,0.14621371030807495,0.2642572522163391,0.508560061454773
6,9.999999747378752e-05,0.14328238368034363,0.2650138735771179,0.5094770789146423,0.15113288164138794,0.28390637040138245,0.5287525057792664
7,9.999999747378752e-05,0.1388646811246872,0.25693050026893616,0.49877551198005676,0.1442374438047409,0.25137680768966675,0.5101988315582275
8,9.999999747378752e-05,0.13035790622234344,0.2450723499059677,0.47402235865592957,0.13789871335029602,0.25776368379592896,0.4745202958583832
9,9.999999747378752e-05,0.12807077169418335,0.24395468831062317,0.46576228737831116,0.15118534862995148,0.27686840295791626,0.50325608253479
10,9.999999747378752e-05,0.12603770196437836,0.23899073898792267,0.46195724606513977,0.1434982270002365,0.25843748450279236,0.4832504391670227
11,9.999999747378752e-05,0.1220279186964035,0.23383858799934387,0.45053064823150635,0.1459241360425949,0.2648968994617462,0.4865245819091797
12,9.999999747378752e-05,0.12041689455509186,0.2330610752105713,0.4470747411251068,0.1439662128686905,0.25309205055236816,0.4953330159187317
13,9.999999747378752e-05,0.11938529461622238,0.2318798154592514,0.4456411600112915,0.13581255078315735,0.2543615996837616,0.47413235902786255
14,9.999999747378752e-05,0.11578726023435593,0.2262769639492035,0.43413153290748596,0.14884713292121887,0.26799121499061584,0.5082135796546936
15,9.999999747378752e-05,0.11579207330942154,0.22627709805965424,0.43441861867904663,0.13966891169548035,0.2493981122970581,0.4915449917316437
16,9.999999747378752e-05,0.11483625322580338,0.2251034528017044,0.43342554569244385,0.14322786033153534,0.27217236161231995,0.48313090205192566
17,9.999999747378752e-05,0.11213559657335281,0.22313684225082397,0.42454084753990173,0.13747859001159668,0.25868695974349976,0.4724734425544739
18,9.999999747378752e-05,0.10876131057739258,0.21843679249286652,0.41458824276924133,0.13036112487316132,0.25278064608573914,0.4504591226577759
19,9.999999747378752e-05,0.1073143407702446,0.21525554358959198,0.4125674366950989,0.14267629384994507,0.27327975630760193,0.4821784496307373
20,9.999999747378752e-05,0.10961353778839111,0.21832382678985596,0.4211968183517456,0.13327716290950775,0.2539430558681488,0.4574322998523712
21,9.999999747378752e-05,0.1049182191491127,0.21071553230285645,0.4067528545856476,0.12879762053489685,0.24349313974380493,0.4473498463630676
22,9.999999747378752e-05,0.10320349782705307,0.20764310657978058,0.40248095989227295,0.12500017881393433,0.2304970622062683,0.44028109312057495
23,9.999999747378752e-05,0.1032702699303627,0.20635271072387695,0.4053705036640167,0.12447136640548706,0.2338426560163498,0.44107773900032043
24,9.999999747378752e-05,0.1020464301109314,0.20310905575752258,0.39918577671051025,0.12507185339927673,0.23558004200458527,0.44576209783554077
25,9.999999747378752e-05,0.10165958106517792,0.20264998078346252,0.40081802010536194,0.12739244103431702,0.23933449387550354,0.445769727230072
26,9.999999747378752e-05,0.09800395369529724,0.19566766917705536,0.38997310400009155,0.1472180336713791,0.2661125957965851,0.50865238904953
27,9.999999747378752e-05,0.09744932502508163,0.1974211037158966,0.38982531428337097,0.12891539931297302,0.23661744594573975,0.4544283151626587
28,9.999999747378752e-05,0.09621218591928482,0.19280759990215302,0.38637682795524597,0.1252972036600113,0.23336076736450195,0.4500938057899475
29,9.999999747378752e-05,0.09696774184703827,0.19431927800178528,0.3886156976222992,0.12444158643484116,0.23327556252479553,0.446387380361557
30,9.999999747378752e-05,0.09491146355867386,0.1911534070968628,0.3844608962535858,0.12151990830898285,0.2284260094165802,0.43985310196876526
31,9.999999747378752e-05,0.09453793615102768,0.18981437385082245,0.3848375082015991,0.12001408636569977,0.22590535879135132,0.43378278613090515
32,9.999999747378752e-05,0.0945853665471077,0.18913739919662476,0.3852112889289856,0.12991422414779663,0.24034233391284943,0.464030385017395
33,9.999999747378752e-05,0.09186579287052155,0.1859942376613617,0.3766714930534363,0.1307186335325241,0.24394556879997253,0.47237804532051086
34,9.999999747378752e-05,0.09283974021673203,0.1868828386068344,0.38185998797416687,0.12829776108264923,0.24099960923194885,0.4669412672519684
35,9.999999747378752e-05,0.090675950050354,0.18290171027183533,0.37475070357322693,0.12550599873065948,0.23914316296577454,0.4570370614528656
36,9.999999747378752e-05,0.09022992849349976,0.18045955896377563,0.3758305311203003,0.13131308555603027,0.236191064119339,0.47973713278770447
37,9.999999747378752e-05,0.09083257615566254,0.18370753526687622,0.3771931231021881,0.12621921300888062,0.23285222053527832,0.46533963084220886
38,9.999999747378752e-05,0.09067252278327942,0.18211065232753754,0.377630352973938,0.1305426061153412,0.2391120046377182,0.48010337352752686
39,9.999999747378752e-05,0.08813855797052383,0.17818601429462433,0.37156230211257935,0.12233980745077133,0.22924426198005676,0.4567284882068634
40,4.999999873689376e-05,0.08655547350645065,0.17341038584709167,0.3664092421531677,0.12238964438438416,0.234962597489357,0.4527190625667572
41,4.999999873689376e-05,0.08745607733726501,0.1750229001045227,0.37295669317245483,0.1225140318274498,0.22972704470157623,0.45560145378112793
42,4.999999873689376e-05,0.0850641056895256,0.17174629867076874,0.36053961515426636,0.12312816828489304,0.2259455919265747,0.46186235547065735
43,4.999999873689376e-05,0.08510179072618484,0.172348752617836,0.36212074756622314,0.12747521698474884,0.23307116329669952,0.47670644521713257
